post_id;post_date;post_date_last;likes_count;day_of_week;time_of_day;time_since_last_post;time_type
1;"2024-09-13 19:40:00";"2024-09-13 16:30:00";132;Friday;evening;03:10:00;"from one to 5 hours"
2;"2024-09-13 16:30:00";"2024-09-12 17:13:00";147;Friday;afternoon;23:17:00;"from 12 to 24 hours"
3;"2024-09-12 17:13:00";"2024-09-12 17:01:00";78;Thursday;afternoon;00:12:00;"from 5 minutes to an hour"
4;"2024-09-12 17:01:00";"2024-09-12 15:52:00";281;Thursday;afternoon;01:09:00;"from one to 5 hours"
5;"2024-09-12 15:52:00";"2024-09-11 16:14:00";306;Thursday;afternoon;23:38:00;"from 12 to 24 hours"
6;"2024-09-11 16:14:00";"2024-09-11 13:21:00";164;Wednesday;afternoon;02:53:00;"from one to 5 hours"
7;"2024-09-11 13:21:00";"2024-09-10 19:39:00";158;Wednesday;afternoon;17:42:00;"from 12 to 24 hours"
8;"2024-09-10 19:39:00";"2024-09-06 00:59:00";488;Tuesday;evening;114:40:00;"from 5 to 12 hours"
9;"2024-09-06 00:59:00";"2024-09-03 00:31:00";154;Friday;night;72:28:00;"More than a day"
10;"2024-09-03 00:31:00";"2024-08-28 16:11:00";138;Tuesday;night;128:20:00;"from 12 to 24 hours"
11;"2024-08-28 16:11:00";"2024-08-28 16:10:00";108;Wednesday;afternoon;00:01:00;"from 1 to 5 minutes"
12;"2024-08-28 16:10:00";"2024-08-03 20:39:00";189;Wednesday;afternoon;595:31:00;"More than a day"
13;"2024-08-03 20:39:00";"2024-08-01 15:57:00";214;Saturday;evening;52:42:00;"More than a day"
14;"2024-08-01 15:57:00";"2024-07-29 17:15:00";187;Thursday;afternoon;70:42:00;"More than a day"
15;"2024-07-29 17:15:00";"2024-07-28 18:20:00";90;Monday;afternoon;22:55:00;"from 12 to 24 hours"
16;"2024-07-28 18:20:00";"2024-07-21 23:13:00";70;Sunday;evening;163:07:00;"from 12 to 24 hours"
17;"2024-07-21 23:13:00";"2024-07-21 00:24:00";83;Sunday;evening;22:49:00;"from 12 to 24 hours"
18;"2024-07-21 00:24:00";"2024-07-19 19:24:00";147;Sunday;night;29:00:00;"More than a day"
19;"2024-07-19 19:24:00";"2024-07-18 14:20:00";242;Friday;evening;29:04:00;"More than a day"
20;"2024-07-18 14:20:00";"2024-07-17 02:12:00";230;Thursday;afternoon;36:08:00;"More than a day"
21;"2024-07-17 02:12:00";"2024-07-16 10:38:00";196;Wednesday;night;15:34:00;"from 12 to 24 hours"
22;"2024-07-16 10:38:00";"2024-07-12 00:17:00";102;Tuesday;morning;106:21:00;"from 5 to 12 hours"
23;"2024-07-12 00:17:00";"2024-07-10 20:59:00";210;Friday;night;27:18:00;"More than a day"
24;"2024-07-10 20:59:00";"2024-07-17 02:12:00";291;Wednesday;evening;-149:13:00;"from 1 to 5 minutes"
25;"2024-07-17 02:12:00";"2024-07-07 23:27:00";190;Wednesday;night;218:45:00;"from 12 to 24 hours"
26;"2024-07-07 23:27:00";"2024-07-07 23:23:00";52;Sunday;evening;00:04:00;"from 1 to 5 minutes"
27;"2024-07-07 23:23:00";"2024-07-07 23:20:00";102;Sunday;evening;00:03:00;"from 1 to 5 minutes"
28;"2024-07-07 23:20:00";"2024-07-06 23:03:00";192;Sunday;evening;24:17:00;"More than a day"
29;"2024-07-06 23:03:00";"2024-06-26 14:46:00";390;Saturday;evening;248:17:00;"More than a day"
30;"2024-06-26 14:46:00";"2024-06-25 23:52:00";119;Wednesday;afternoon;14:54:00;"from 12 to 24 hours"
